,Issue#,Title,Owner,Description,Labels,Reviewers,Assignees,Opened time,Closed time,Changed Files,Commits,Events,Participants,Number of Comments,Merged
3239,5135,Get rid of var tag unique value,Faruk-Ahmed,"#5043
",,,,2016-10-24 20:50:53,2016-10-25 13:51:03,theano/tensor/var.py theano/scan_module/scan.py,4f7bf1c7bcc043055f8f5b865a72b1deee3a07a5 7fcafb2f958b85bad57a8d4a8ef48a9d98b698ef,Faruk-Ahmed closed 2016-10-25 13:51:03,Faruk-Ahmed,0,False
3240,5138,"Deprecate ds, st, padding parameters in pooling",gvtulder,"This should rename the following pooling parameters for `pool_2d`, `pool_3d` and `Pool` (see #4933):
- `ds` to `ws`
- `st` to `stride`
- `padding` to `pad`

It keeps the old named parameters for backwards compatibility, but these will produce a warning.
",,,,2016-10-25 11:53:24,2016-10-31 19:38:33,theano/tensor/signal/tests/test_pool.py theano/sandbox/cuda/tests/test_dnn.py theano/gpuarray/tests/test_dnn.py theano/tensor/signal/pool.py,ee75b95bc137125f587816e9e43cdee9981881f0,"gvtulder closed 2016-10-25 20:46:48,gvtulder reopened 2016-10-25 20:46:49,ChihebTrabelsi mentioned 2016-10-25 23:30:20,ChihebTrabelsi subscribed 2016-10-25 23:30:20,ChihebTrabelsi referenced 2016-10-26 11:48:16,lamblin merged 2016-10-31 19:38:33,lamblin closed 2016-10-31 19:38:33,gvtulder head_ref_deleted 2016-11-01 21:27:58",gvtulder ChihebTrabelsi lamblin,3,True
3241,5142,Pool 2d rename,ChihebTrabelsi,"This pull request contains modifications of the functions parameters in pool.py and test_pool.py. The modifications have been made for coherence purposes. Deprecation warnings and exceptions have been added in order to deal with all possible scenarios in pool.py. The test also contains some examples where it should print a deprecation warning.
",,gvtulder lamblin,,2016-10-25 22:23:40,2016-10-31 19:38:21,theano/tensor/signal/tests/test_pool.py theano/sandbox/cuda/tests/test_dnn.py theano/gpuarray/tests/test_dnn.py theano/tensor/signal/pool.py,61cd924c2cc08546e66df309085a1c1714199a65 0439ec21bfb80572f8b04dea0fa6ce771c896a2c ee75b95bc137125f587816e9e43cdee9981881f0 12a92ee4837b4831013ff61ab5517fdbde7cfe8b c49136ebd89d24e9cf32344cc3508d06e2db477b 9d9c8a8717f40902d1654c8b0e1359f603e3858b 57cd51cbe8c815bd3accfe8ff1135ae9fab0b69b,"gvtulder mentioned 2016-10-26 18:45:55,gvtulder subscribed 2016-10-26 18:45:55,lamblin referenced 2016-10-31 19:38:21,lamblin merged 2016-10-31 19:38:21,lamblin closed 2016-10-31 19:38:21",gvtulder ChihebTrabelsi lamblin,14,True
3242,5144,make var() return float16 when input is float16.,nouiz,"fix gh-5129.
",,,,2016-10-26 15:16:10,2016-10-31 16:26:11,theano/tensor/basic.py theano/tensor/tests/test_basic.py,28fed69c72f4062998a9b48a5b7e43624692f60e,"nouiz renamed 2016-10-26 15:56:00,nouiz mentioned 2016-10-26 16:57:48,nouiz subscribed 2016-10-26 16:57:48,nouiz mentioned 2016-10-27 15:44:11,nouiz subscribed 2016-10-27 15:44:11,lamblin mentioned 2016-10-29 03:24:40,lamblin subscribed 2016-10-29 03:24:40,abergeron mentioned 2016-10-31 12:49:54,abergeron subscribed 2016-10-31 12:49:54,abergeron referenced 2016-10-31 16:26:11,abergeron merged 2016-10-31 16:26:11,abergeron closed 2016-10-31 16:26:11,nouiz head_ref_deleted 2016-10-31 16:52:54",abergeron nouiz lamblin,6,True
3243,5146,Insert GpuSolve only when CULA is available,f0k,"The `local_gpu_solve` optimizer inserted `GpuSolve` even if `GpuSolve` was not usable due to a missing CULA library, causing an exception later on. This PR adds a check to insert `GpuSolve` only if it can be used.
",,nouiz,,2016-10-27 11:09:17,2016-10-27 15:56:18,theano/sandbox/cuda/opt.py,aedba3648424342fb7870db9d8f1b618de49111c,"nouiz referenced 2016-10-27 15:56:18,nouiz merged 2016-10-27 15:56:18,nouiz closed 2016-10-27 15:56:18,f0k head_ref_deleted 2016-10-27 16:09:50",nouiz f0k,2,True
3244,5151,import numpy as np,kvmanohar22,"Changed all the numpy imports to a single form of `import numpy as np`
fix gh-4218",,nouiz lamblin,,2016-10-28 09:12:40,2016-11-04 14:11:39,theano/scan_module/tests/test_scan_checkpoints.py theano/gpuarray/tests/test_blocksparse.py theano/gof/link.py doc/library/compile/io.txt theano/tensor/tests/test_elemwise.py theano/sandbox/multinomial.py benchmark/regression/regression.py doc/tutorial/debug_faq.txt benchmark/convolution/scipy_conv.py theano/misc/may_share_memory.py doc/proposals/pfunc.txt theano/compile/builders.py theano/compile/tests/test_misc.py theano/sandbox/cuda/opt_util.py theano/tensor/signal/pool.py theano/sparse/sandbox/test_sp.py theano/tensor/tests/test_opt_uncanonicalize.py theano/gof/cc.py theano/scan_module/scan_perform_ext.py theano/sandbox/linalg/tests/test_linalg.py theano/scan_module/scan_op.py theano/tensor/tests/test_merge.py theano/__init__.py theano/sandbox/cuda/opt.py theano/sandbox/cuda/GpuConvTransp3D.py doc/links.txt theano/misc/latence_gpu_transfert.py theano/misc/tests/test_pycuda_example.py theano/sandbox/fourier.py theano/gpuarray/type.py theano/compile/tests/test_function.py theano/sandbox/cuda/blocksparse.py doc/tutorial/printing_drawing.txt doc/hpcs2011_tutorial/logreg_example.py theano/tensor/signal/tests/test_pool.py theano/gpuarray/tests/rnn_support.py theano/misc/tests/test_cudamat_utils.py theano/tensor/nnet/tests/test_abstract_conv.py theano/tensor/fourier.py theano/sandbox/minimal.py theano/compile/tests/test_monitormode.py theano/tensor/shared_randomstreams.py theano/gpuarray/tests/test_gemmcorr.py doc/extending/extending_theano_solution_1.py doc/introduction.txt theano/gpuarray/tests/test_opt.py theano/tensor/nnet/tests/test_blocksparse.py theano/gof/tests/test_lazy.py doc/tutorial/gpu_data_convert.txt theano/sandbox/linalg/ops.py theano/gpuarray/neighbours.py theano/sandbox/cuda/tests/test_dnn.py doc/tutorial/examples.txt doc/library/scan.txt theano/tensor/tests/test_blas_c.py theano/sandbox/cuda/type.py theano/gpuarray/tests/test_multinomial.py doc/library/tensor/basic.txt benchmark/autoencoder/aa_numpy.py theano/sandbox/rng_mrg.py doc/faq.txt doc/crei2013/ifelse_switch.py doc/sandbox/sandbox.txt theano/compile/nanguardmode.py theano/tensor/opt.py theano/tensor/nnet/abstract_conv.py doc/library/tensor/index.txt theano/scalar/basic_scipy.py theano/printing.py doc/cifarSC2011/gpundarray.txt theano/gpuarray/tests/test_gemmcorr3d.py theano/gpuarray/tests/test_pickle.py theano/sandbox/cuda/GpuConvGrad3D.py theano/tensor/blas_scipy.py theano/tensor/nnet/neighbours.py doc/extending/inplace.txt benchmark/convolution/opencv.py theano/sandbox/cuda/tests/test_mlp.py theano/tensor/tests/test_fft.py theano/compile/debugmode.py theano/gof/tests/test_compute_test_value.py doc/sandbox/how_to_make_ops.txt theano/sparse/sandbox/truedot.py theano/sandbox/cuda/tests/test_cuda_ndarray.py theano/gpuarray/nnet.py doc/tutorial/aliasing.txt doc/extending/fibby.txt theano/tensor/nnet/ConvGrad3D.py theano/sandbox/cuda/tests/test_gemmcorr3d.py theano/gpuarray/dnn.py doc/proposals/graphical_models.txt theano/sandbox/cuda/tests/test_tensor_op.py theano/gpuarray/basic_ops.py doc/conf.py theano/sandbox/tests/test_multinomial_wo_replacement.py doc/tutorial/loading_and_saving.txt theano/gof/tests/test_graph_opt_caching.py theano/sandbox/cuda/tests/test_blocksparse.py theano/gpuarray/tests/test_abstractconv.py theano/tensor/nnet/tests/test_corr.py doc/extending/extending_theano.txt theano/misc/pkl_utils.py doc/library/tensor/shared_randomstreams.txt theano/scalar/basic.py theano/tensor/nnet/ConvTransp3D.py theano/tensor/tests/test_inc_subtensor.py theano/sandbox/cuda/GpuConv3D.py theano/scan_module/scan_opt.py theano/tensor/nnet/blocksparse.py theano/gof/tests/test_cmodule.py doc/tutorial/adding.txt theano/gof/type.py theano/gradient.py theano/sandbox/tests/test_rng_mrg.py theano/scan_module/tests/test_scan.py theano/tensor/blas_c.py theano/sandbox/cuda/tests/test_opt.py theano/tensor/elemwise.py theano/misc/gnumpy_utils.py theano/misc/tests/test_gnumpy_utils.py theano/gpuarray/subtensor.py theano/misc/tests/test_may_share_memory.py theano/tensor/tests/test_blas.py theano/compile/sharedvalue.py doc/sandbox/randomnumbers.txt theano/gpuarray/tests/test_blas.py theano/sandbox/cuda/elemwise.py theano/gpuarray/tests/test_scan.py theano/sparse/tests/test_opt.py theano/sparse/sandbox/sp.py theano/tensor/tests/test_fourier.py theano/gpuarray/tests/test_basic_ops.py theano/compile/tests/test_profiling.py doc/tutorial/gradients.txt theano/tensor/subtensor.py theano/gof/compiledir.py theano/sandbox/cuda/tests/test_rng_curand.py theano/tensor/sort.py theano/gpuarray/opt_util.py theano/tensor/tests/test_basic.py theano/gof/opt.py doc/extending/type.txt doc/sandbox/logistic_regression_example.txt theano/gof/graph.py doc/sandbox/interactive_debugger.txt theano/gpuarray/tests/test_fft.py theano/ifelse.py theano/sandbox/cuda/tests/test_driver.py doc/acknowledgement.txt theano/compile/tests/test_function_module.py doc/tutorial/profiling_example.py doc/crei2013/logreg.py theano/sandbox/cuda/tests/test_bench_loopfusion.py theano/tensor/fft.py theano/tensor/nnet/tests/test_neighbours.py theano/sandbox/cuda/tests/walltime.py theano/tensor/nnet/nnet.py theano/tensor/nnet/tests/speed_test_conv.py theano/tensor/slinalg.py theano/scalar/sharedvar.py theano/tensor/tests/mlp_test.py theano/tensor/tests/test_io.py theano/misc/safe_asarray.py theano/sparse/tests/test_basic.py theano/compile/tests/test_debugmode.py theano/gpuarray/opt.py doc/extending/op.txt theano/gof/tests/test_op.py theano/compile/ops.py theano/sandbox/cuda/nvcc_compiler.py theano/gof/tests/test_vm.py theano/sparse/basic.py theano/scan_module/scan_utils.py theano/tensor/nnet/Conv3D.py doc/crei2013/advanced_theano.txt doc/tutorial/shape_info.txt theano/sandbox/cuda/tests/test_viewop.py theano/tensor/nnet/tests/test_conv.py theano/gpuarray/tests/test_cgpukernelbase.py theano/gpuarray/elemwise.py doc/tutorial/conditions.txt doc/cifarSC2011/pyCUDA.txt doc/hpcs2011_tutorial/double_op.py theano/compile/tests/test_pfunc.py theano/compile/tests/test_shared.py theano/sparse/sandbox/sp2.py doc/index.txt theano/tensor/nlinalg.py theano/tensor/tests/test_keepdims.py doc/sandbox/broadcasting.txt doc/tutorial/using_gpu_solution_1.py doc/crei2013/theano.txt benchmark/autoencoder/aa.py theano/tensor/basic.py theano/sandbox/cuda/rng_curand.py theano/sandbox/cuda/tests/test_type.py theano/tensor/blas.py theano/gof/op.py doc/library/compile/nanguardmode.txt doc/library/d3viz/index.ipynb theano/sandbox/cuda/tests/test_cula.py theano/tensor/signal/tests/test_conv.py theano/tensor/tests/test_extra_ops.py theano/gof/tests/test_graph.py doc/extending/extending_theano_c.txt theano/tensor/tests/test_casting.py theano/sandbox/cuda/tests/test_nnet.py doc/cifarSC2011/advanced_theano.txt theano/tensor/raw_random.py theano/gof/tests/test_cc.py doc/extending/extending_theano_gpu.txt theano/scan_module/scan_perform.pyx theano/sandbox/tests/test_multinomial.py theano/sparse/tests/test_sp2.py doc/tutorial/modes.txt theano/sandbox/cuda/tests/test_abstractconv.py theano/sandbox/cuda/tests/test_blas.py doc/sandbox/performance.txt doc/omlw2014/logreg.py theano/scan_module/scan.py theano/tensor/nnet/conv.py theano/tensor/tests/test_misc.py theano/configdefaults.py theano/tensor/nnet/tests/test_nnet.py theano/compile/tests/test_builders.py theano/gpuarray/tests/test_elemwise.py theano/sandbox/cuda/tests/test_fftconv.py theano/tensor/io.py doc/tutorial/using_gpu.txt doc/crei2013/scan_poly.py doc/hpcs2011_tutorial/pycuda_simple.py theano/tensor/tests/test_gc.py theano/gpuarray/fft.py theano/scan_module/tests/test_scan_opt.py theano/tensor/tests/test_blas_scipy.py theano/compile/function_module.py doc/glossary.txt doc/tutorial/loop.txt theano/gof/cutils.py theano/gof/utils.py theano/scan_module/tests/test_scan_utils.py theano/tensor/tests/test_nlinalg.py doc/hpcs2011_tutorial/pycuda_double_op.py theano/tensor/nnet/tests/test_sigm.py theano/misc/check_blas.py theano/gof/cmodule.py theano/sparse/opt.py theano/sandbox/cuda/tests/test_basic_ops.py doc/sandbox/max_gotcha.txt theano/sandbox/cuda/tests/test_conv_cuda_ndarray.py theano/tensor/tests/test_complex.py doc/sandbox/elemwise_compiler.txt benchmark/convolution/conv2d.py theano/misc/check_multi_gpu.py theano/tensor/extra_ops.py doc/tutorial/numpy.txt doc/tutorial/using_multi_gpu.txt theano/tensor/nnet/tests/test_corr3d.py theano/compile/monitormode.py theano/misc/tests/test_pycuda_theano_simple.py theano/sparse/type.py doc/hpcs2011_tutorial/scan_poly.py theano/gof/tests/test_link.py theano/sandbox/solve.py theano/tensor/nnet/sigm.py theano/tensor/nnet/tests/test_conv3d2d.py theano/tensor/tests/test_opt.py theano/sandbox/cuda/basic_ops.py doc/extending/unittest.txt doc/tutorial/loop_solution_1.py theano/tensor/sharedvar.py theano/compile/tests/test_nanguardmode.py theano/gpuarray/tests/test_dnn.py theano/gpuarray/tests/test_type.py theano/sparse/tests/test_utils.py doc/troubleshooting.txt doc/tutorial/modes_solution_1.py doc/crei2013/gpundarray.txt doc/core_development_guide.txt theano/sandbox/cuda/tests/test_var.py theano/gpuarray/tests/test_nnet.py doc/tutorial/index.txt doc/install_windows.txt theano/compile/profiling.py theano/misc/tests/test_pkl_utils.py doc/library/tensor/raw_random.txt theano/tensor/nnet/tests/test_bn.py benchmark/numexpr/gen_graph.py doc/cifarSC2011/theano.txt doc/library/config.txt theano/gpuarray/tests/test_nerv.py theano/gpuarray/blocksparse.py theano/gpuarray/tests/test_subtensor.py theano/misc/pycuda_example.py theano/sandbox/cuda/dnn.py theano/sandbox/cuda/var.py theano/misc/tests/test_pycuda_utils.py doc/extending/graphstructures.txt theano/tensor/nnet/tests/test_conv3d.py theano/gof/tests/test_types.py,6d3c3b79a370702765f50d35bdcda6dfec2a5517 72499c26569a62c0787fb89819035a692e277a9c e2abec350c957686f0ddf23f2d67579d6b277715 357374d3574abd69592d09db936521fc5ffff4e7 62cc91911b71071a071eaa3b957feceef95662d2 2e0a49ef2dcd79c633e3e704f9c8dcbbe1664dc4,"nouiz renamed 2016-10-31 12:53:34,nouiz closed 2016-11-04 14:11:39,kvmanohar22 head_ref_deleted 2016-11-07 18:47:41",lamblin nouiz kvmanohar22,26,False
3245,5152,Fix h_softmax example data types,adbrebs,"@mgermain 
#5095
",,,,2016-10-28 22:22:24,2016-11-08 13:44:12,theano/tensor/nnet/nnet.py,e5574e2f7933edd839c464af69ad5b6c2571e0f9,"mgermain mentioned 2016-10-28 22:22:24,mgermain subscribed 2016-10-28 22:22:24,nouiz mentioned 2016-11-07 23:42:47,nouiz subscribed 2016-11-07 23:42:47,nouiz referenced 2016-11-08 13:44:12,nouiz merged 2016-11-08 13:44:12,nouiz closed 2016-11-08 13:44:12",mgermain nouiz adbrebs,1,True
3246,5153,"Dimshuffle{0,2}(Subtensor[i:j, :, k:l]) => Subtensor[i:j, 0, k:l] #4647",olimastro,"Note: I also fixed some things I found were not good on my previous gh-4647 tickets. I mistakenly used the same name twice for a test.

This does crash into an error but I don't know how to fix it. I tried to give back a new Subtensor object then realized that this could not be done as it would lack the inputs! So I tried to modify directly the Subtensor.idx_list and then replace the dimshuffle with its Subtensor.idx_list changed input, but it throws an error...almost there!

gh-4647
",,lamblin,,2016-10-29 01:15:34,2016-11-23 19:51:49,theano/tensor/opt_uncanonicalize.py theano/tensor/tests/test_opt_uncanonicalize.py,ca9499d57e62cf7d144abf035fa5b7cff9815d0b 8c654cf1ac53d82b06350d86c5f4bf6d41cbae90 6c0263e45e5583321f9df787f07e47b36de1cc30 fea40244e936a43fe3775be854381040fd0888f0 38558785d8538ea5eb7713b769c8316b36154a10 a5389ddddb9ccbb427fbf1588bba9ba1c7eae944,"lamblin closed 2016-11-21 22:01:19,lamblin reopened 2016-11-21 22:01:22,nouiz referenced 2016-11-23 19:51:49,nouiz merged 2016-11-23 19:51:49,nouiz closed 2016-11-23 19:51:49",nouiz lamblin olimastro,9,True
3247,5155,Option to evaluate part of the max-and-argmax on cpu,sygi,"Is it a good idea to try to access the already computed indices instead of calculating the max in the case of `eval_max=True` and `eval_argmax=True`?

Fixes #5147.
",,nouiz,,2016-10-30 12:09:53,2016-11-08 13:45:36,theano/tensor/basic.py theano/tensor/nnet/tests/test_nnet.py theano/tensor/opt_uncanonicalize.py,88160c11dda184fae9140fe47cfc9daebbc7dced 15584c1d23a91b8f5b158d6ce46abe4e6ccdd3a2,"sygi head_ref_force_pushed 2016-11-01 16:36:21,sygi head_ref_force_pushed 2016-11-03 15:52:48,sygi head_ref_force_pushed 2016-11-03 15:54:03,sygi head_ref_force_pushed 2016-11-03 16:21:50,sygi head_ref_force_pushed 2016-11-05 11:58:28,sygi head_ref_force_pushed 2016-11-05 13:17:39,sygi head_ref_force_pushed 2016-11-07 15:17:52,nouiz referenced 2016-11-08 13:45:36,nouiz merged 2016-11-08 13:45:36,nouiz closed 2016-11-08 13:45:36",sygi nouiz,19,True
3248,5157,Cuda pooling with strides,aam-at,"Add strides support for cuda pooling.
",,abergeron nouiz,,2016-10-30 15:52:43,2016-11-24 20:55:01,theano/sandbox/cuda/opt.py theano/sandbox/cuda/tests/test_pool.py theano/sandbox/cuda/blas.py theano/sandbox/cuda/tests/test_blas.py theano/sandbox/cuda/pool.py theano/sandbox/cuda/dnn.py,9cd3902c3a017d026dbd771bd1063cfa0c79f92c 821f35926c7de4f6457bd98777c165bba10709e3 589cc8368e1179cead0eddd732387c52de24e771 8a7361de17131eec717ae324a20055610fa6af0e 08019822f14b3c85b068a6390ebde26b5da84583 081eca0c65477f69a4ad7662a2de72bc6cb21506 5fcf70d9f73f026b23cb482371c1727833124553 df06f30d2c5d22a5018ed5ba921488976d93b43f c6bf16ffde0c8782ffb3f2b202c741fa22df2cd0 b0cbafc2beed6b7a683dad17e39e05d13c9613b0,"abergeron mentioned 2016-10-31 17:43:48,abergeron subscribed 2016-10-31 17:43:48,nouiz mentioned 2016-10-31 19:51:16,nouiz subscribed 2016-10-31 19:51:16,nouiz mentioned 2016-11-03 12:25:09,nouiz subscribed 2016-11-03 12:25:09,aam-at head_ref_force_pushed 2016-11-10 16:46:08,aam-at head_ref_force_pushed 2016-11-10 16:53:45,nouiz closed 2016-11-24 20:55:01",abergeron nouiz aam-at,17,False
3249,5159,Gpuarray pool grad grad,aam-at,"Adds support for gpuarray pool grad grad. Currently, does not support padding and similar to cuda pool grad grad.

I placed implementation in `blas.py` which is similar to cuda backend.",,abergeron,,2016-10-31 12:19:24,2016-11-03 17:20:49,theano/gpuarray/pool_grad_grad.c theano/gpuarray/opt.py theano/gpuarray/blas.py theano/gpuarray/tests/test_blas.py,15df7a8e6707746506d98f3456e2eab0dd3f78ba 9411992c6bc71c9d3498e7d534f9425904f36c1d 76aa8972a370ca6e594bf028eb6815dc52dec84a a43a84259b4eec8283d61b9fb779e3b762d07be1 a888141ac703720050d7d94bcff806ceaedf675d 03c9bbe21e49b0ae83f1a03ff130715f315389e3,"gvtulder mentioned 2016-10-31 20:01:03,gvtulder subscribed 2016-10-31 20:01:03,gvtulder mentioned 2016-10-31 20:08:28,gvtulder subscribed 2016-10-31 20:08:28,aam-at mentioned 2016-10-31 20:50:37,aam-at subscribed 2016-10-31 20:50:37,abergeron mentioned 2016-11-01 18:29:46,abergeron subscribed 2016-11-01 18:29:46,abergeron mentioned 2016-11-02 04:32:29,abergeron subscribed 2016-11-02 04:32:29,abergeron mentioned 2016-11-02 17:48:49,abergeron subscribed 2016-11-02 17:48:49,aam-at head_ref_force_pushed 2016-11-03 00:45:57,abergeron mentioned 2016-11-03 03:43:54,abergeron subscribed 2016-11-03 03:43:54,abergeron referenced 2016-11-03 17:20:49,abergeron merged 2016-11-03 17:20:49,abergeron closed 2016-11-03 17:20:49,aam-at head_ref_deleted 2016-11-04 02:48:38",abergeron gvtulder aam-at,15,True
3250,5160,Fixed typo in config doc,hsintone,Doc had two nan_is_error attributes. One of them should be big_is_error.,,,,2016-10-31 12:38:32,2016-10-31 17:19:50,doc/library/config.txt,f0ceb3a9275fd5d4e7cdb501e6df0d0475ade1eb,"nouiz referenced 2016-10-31 17:19:50,nouiz merged 2016-10-31 17:19:50,nouiz closed 2016-10-31 17:19:50",hsintone nouiz,1,True
3251,5161,GpuDownsampleFactorMaxGradGrad3d in cuda (+bug?),gvtulder,"Given #5159, I thought it might be useful to have a 3D version of `GpuDownsampleFactorMaxGradGrad` as well. While trying to build that, I discovered (what I suspect is) a bug in the existing 2D code. It assumes that there is only one maximum per region (unlike the cpu version, which correctly sums all maxima in the region).

Miraculously, the random test samples do not contain multiple maxima, so the 2D test runs correctly. If you give an input of all ones the tests will fail.

The 3D function in this patch is a straightforward copy of the 2D function, so it has the same problem. I 'fixed' this by using unique values in the tests.

The new gpuarray function in #5159 seems to implement this correctly.",,,,2016-10-31 17:57:36,2016-11-25 19:52:12,theano/sandbox/cuda/blas.py theano/sandbox/cuda/tests/test_blas.py theano/sandbox/cuda/opt.py,d793a027533f45f9939caf9c231719f81f65b6d6 978c62e3d857726debc9bf49aaa0e343cf7b17fb,"nouiz mentioned 2016-11-16 13:29:49,nouiz subscribed 2016-11-16 13:29:49,nouiz closed 2016-11-25 19:52:12,gvtulder head_ref_deleted 2017-09-22 13:37:09",gvtulder nouiz,5,False
3252,5163,[ENH] fix opt error/skip and better error printing.,nouiz,fig gh-5158,,,,2016-10-31 18:23:53,2016-11-01 20:21:06,theano/compile/function_module.py theano/tensor/elemwise.py theano/tensor/type.py,38edd48cad2643030852794e645cef890f6cab29 e35c91631cf28e1ba89837db7b448acbaa97ad16 1970fe04c66d6e66420c82aaeee29b396d549eac,"abergeron referenced 2016-11-01 20:21:06,abergeron merged 2016-11-01 20:21:06,abergeron closed 2016-11-01 20:21:06,nouiz head_ref_deleted 2016-11-01 20:32:31",abergeron nouiz lamblin,3,True
3253,5164,Fix some problems in float16.,abergeron,"This fixes a number of problems observed in float16 over the Deep Learning Tutorials.

The major points are:
 * The gemm optimizations now work on float16 inputs
 * tensor and scalar share code to cast constant values to a specific type",,nouiz,,2016-10-31 18:34:48,2016-11-02 15:51:57,theano/scalar/basic.py theano/gpuarray/tests/test_blas.py theano/tensor/basic.py theano/tensor/blas.py theano/gpuarray/opt.py theano/tensor/tests/test_basic.py theano/gpuarray/blas.py,32fff4aa37b72ce67909decb4a5f41d2eb9f3c2d f9bf51392b956a8bffcc29e96ed19452c9ec7ebb 761fe6e783d9bf35932a0ed787000b5e5ad4f8af d3cb54fa6b23cfee1e2211bcc9e2e658fdc8a979 78aa627612da25a4964dc0d9c35972149a44503f 035e9e1385aeb56be17d7d8159b604ad1f2abb71 b333f6bb6e3d4431817854332b408ae10d9b70b2,"nouiz referenced 2016-11-02 15:51:57,nouiz merged 2016-11-02 15:51:57,nouiz closed 2016-11-02 15:51:57,abergeron head_ref_deleted 2017-07-31 19:39:40",abergeron nouiz,6,True
3254,5165,Correct blocks/threads for gpuarray CorrMM and Corr3DMM,gvtulder,"@aam-at noticed that the number of threads and the number of blocks were swapped in the kernel calls for `corr3d_gemm.c` and `corr_gemm.c`. This PR corrects this. It also adds two tests with larger inputs to check the correction. (The tests don't really take a lot of time, they are just a little bit too large.)",,nouiz,,2016-10-31 21:09:24,2016-11-01 19:47:51,theano/gpuarray/corr3d_gemm.c theano/gpuarray/tests/test_gemmcorr.py theano/gpuarray/corr_gemm.c theano/gpuarray/tests/test_gemmcorr3d.py theano/gpuarray/blas.py,b09ec230d798956d586d6456c22da0fab45e4177,"aam-at mentioned 2016-10-31 21:09:24,aam-at subscribed 2016-10-31 21:09:24,gvtulder mentioned 2016-11-01 04:11:23,gvtulder subscribed 2016-11-01 04:11:23,gvtulder head_ref_force_pushed 2016-11-01 09:26:11,nouiz referenced 2016-11-01 19:47:51,nouiz merged 2016-11-01 19:47:51,nouiz closed 2016-11-01 19:47:51,gvtulder head_ref_deleted 2016-11-01 21:27:52",gvtulder nouiz aam-at,6,True
3255,5166,Doc: Fix library path. Closes #5156.,gciccarelli3,,,,,2016-11-01 00:37:45,2016-11-01 14:42:35,doc/library/sandbox/cuda/dnn.txt,f4645995adb588c341bbf4eef2b8ff677cc6b657,"nouiz referenced 2016-11-01 14:42:35,nouiz merged 2016-11-01 14:42:35,nouiz closed 2016-11-01 14:42:35",nouiz gciccarelli3,2,True
3256,5168,This is my proposal for GpuMaxAndArgmax (issue #1399).,notoraptor,"GpuMaxAndArgmax op is implemented in a separate file
in theano/gpuarray.

A test script has also been written.

To integrate this op in Theano, an optimization has been
added to ttheano/gpuarray/opt.py.

To check if GpuMaxAndArgmax is included (or not)
in theano graphs:

Without 'device=cuda' (MaxAndArgmax should be used);
```
$ theano-cache purge && THEANO_FLAGS=floatX=float32,profile=True,profiling.ignore_first_call=True nosetests --verbose --nocapture theano/gpuarray/tests/test_GpuMaxAndArgmax.py:TestGpuMaxAndArgmax.test_none
```

With 'device=cuda' (GpuMaxAndArgmax should be used):
```
$ theano-cache purge && THEANO_FLAGS=floatX=float32,device=cuda,profile=True,profiling.ignore_first_call=True nosetests --verbose --nocapture theano/gpuarray/tests/test_GpuMaxAndArgmax.py:TestGpuMaxAndArgmax.test_none
```",,abergeron nouiz,,2016-11-01 15:43:25,2016-11-14 21:03:23,theano/tensor/opt_uncanonicalize.py theano/gpuarray/__init__.py theano/gpuarray/reduction.py theano/tensor/basic.py theano/tensor/nnet/nnet.py theano/gpuarray/GpuMaxAndArgmax.py theano/gpuarray/tests/test_GpuMaxAndArgmax.py theano/gpuarray/opt.py theano/tensor/tests/test_basic.py theano/gpuarray/tests/test_reduction.py,218d006cfdf4cf0cd099c13938043aa89be7f9c3 b2ae1db6499f1121f4edef618d6acb141b653d28 0f4436f9a70c6c71f7006a03a002087ff47da099 063fa257676aaa007afbfebb51ac45e8b1b7d402 7cf174c83d6b75b95266198cd7cf0acad2660035 1ec4bbc99dd8470ae70dbd365973ed36199879a8 0d1973861625ad8015f2942846704bcb1c17387b 2a3aa0fa136c5a70d9c5d50062253cd0cec0946d c4c19aace74511a05ad46decbf21cfc3a8eecc35 37115ad1685328d4d6d7720f328f71bd9886483e c2835d19e3f4337703e13d8572c794b732de1916,"abergeron mentioned 2016-11-02 21:32:10,abergeron subscribed 2016-11-02 21:32:10,abergeron mentioned 2016-11-03 13:19:01,abergeron subscribed 2016-11-03 13:19:01,notoraptor head_ref_force_pushed 2016-11-06 12:19:15,notoraptor head_ref_force_pushed 2016-11-08 18:30:36,notoraptor head_ref_force_pushed 2016-11-10 19:49:00,lamblin referenced 2016-11-14 21:03:23,lamblin merged 2016-11-14 21:03:23,lamblin closed 2016-11-14 21:03:23,aam-at referenced 2016-11-21 04:55:51",lamblin abergeron notoraptor aam-at nouiz,56,True
3257,5172,"[REG,BUG] Use _props_dict() from the right Op.",lamblin,"It was using the one from GpuFromHost instead of AdvancedIncSubtensor1.
This was caught by tests in DebugMode.

This issue was introduced on Sept. 19th by d0d006f44f3b857e160ffd60d45cce2f7cd8838e, should we add a warning?",,abergeron,,2016-11-03 00:39:57,2016-11-03 12:30:07,theano/sandbox/cuda/opt.py,caf6aff19a8c9fd94dfc9f5d152b029bfbd05663,"nouiz renamed 2016-11-03 12:29:51,nouiz referenced 2016-11-03 12:30:07,nouiz merged 2016-11-03 12:30:07,nouiz closed 2016-11-03 12:30:07",abergeron nouiz lamblin,2,True
